0,Myriel
1,Napoleon
2,MlleBaptistine
3,MmeMagloire
4,CountessDeLo
5,Geborand
6,Champtercier
7,Cravatte
8,Count
9,OldMan
10,Valjean
11,Marguerite
12,MmeDeR
13,Isabeau
14,Gervais
15,Tholomyes
16,Listolier
17,Fameuil
18,Blacheville
19,Favourite
20,Dahlia
21,Zephine
22,MmeThenardier
23,Thenardier
24,Cosette
25,Javert
26,Fauchelevent
27,Bamatabois
28,Perpetue
29,Simplice
30,Scaufflaire
31,Woman1
32,Judge
33,Champmathieu
34,Brevet
35,Chenildieu
36,Cochepaille
37,Pontmercy
38,Boulatruelle
39,Eponine
40,Anzelma
41,Woman2
42,MotherInnocent
43,Jondrette
44,MmeBurgon
45,Gavroche
46,Gillenormand
47,Magnon
48,MlleGillenormand
49,Jondrette
50,LtGillenormand
51,Marius
52,BaronessT
53,Mabeuf
54,Enjolras
55,Combeferre
56,Prouvaire
57,Feuilly
58,Courfeyrac
59,Bahorel
60,Bossuet
61,Joly
62,Grantaire
63,Labarre
64,Gueulemer
65,Babet
66,Claquesous
67,Montparnasse
68,Toussaint
69,Brujon
70,MmeHucheloup
